,title,text
5871,the phantom tollbooth,the phantom tollbooth fantasy  animation  adventure phantom  tollbooth  based  upon  children  adventure  novel  norton  juster  tells  story  bored  young  boy  named  milo  unexpectedly  receiving  magic  nothing  better  drives  enters  kingdom  turmoil  following  loss  princesses  rhyme  reason
5872,zombie night,zombie night horror zombies  come  night  two  families  must  survive  morning
5873,mcbain,mcbain action santos  attempts  lead  people  revolt  colombia  overthrow  presidente  fails  killed  sister  christina  goes  new  york  find  mcbain  lieutenant  rescued  vietnam  war  agrees  help  recruits  old  buddies  raises  cash  killing  drug  dealers  leads  attack  topple  colombian  government
5874,rough night in jericho,rough night in jericho western business  wild  west  town  jericho  corrupt  sheriff  alex  flood  control  behind  scenes  stagecoach  owned  tough  willed  widow  molly  lang  right  hand  man  hickman  former  marshal  dolan  recently  hired  driver  wants  stay  mess  sees  henchman  yarbrough  assault  steps  fight  corruption
5875,soldat blanc,soldat blanc drama  history  war muggy  saigon  late  1945  stationed  military  camp  french  indochina  two  young  men  --  robert  andré  become  close  friends  share  boredom  excitement  waiting  first  mission  discover  instead  freeing  foreign  aggressors  fighting  natives  struggling  independence  friendship  jeopardized
5876,la domination masculine,la domination masculine documentary multi  faceted  look  supposedly  egalitarian  western  post  industrial  world  women  still  locked  gender  roles  disproportionately  victims  violence  discrimination
5877,my teacher's wife,my teacher's wife comedy  romance todd  boomer  college  student  aspiring  get  university  chances  looking  poor  maths  teacher  fails  every  test  help  arrives  guise  gorgeous  vicki  mathematical  genius  decides  tutor  relationship  develops  finds  affair  unknowing  marriage  math
5878,the sure thing,the sure thing comedy  drama  romance gib  beer  guzzling  slob  alison  uptight  ivy  leaguer  unlikely  duo  stuck  together  cross  country  trip  christmas  break  first  get  nerves  time  passes  find  divergent  natures  complement  need  realize  already  found  late
5879,no place to hide,no place to hide drama  crime  thriller new  york  late  60s  politically  motivated  group  students  plans  bombings  company  offices  business  dictators  middle  american  countries  contact  known  terrorist  bombing  specialist  fbi  gets  track
5880,the big empty,the big empty comedy  drama  mystery  science fiction struggling  actor  john  person  agrees  drive  blue  suitcase  los  angeles  small  town  baker  calif  .   hand  mysterious  cowboy  return  credit  card  debt  27  000  paid  upon  arrival  find  receives  ominously  head  shaped  package  supposed  hang  onto  waiting  gets  close  ruthie  whose  psychotic  boyfriend  randy  keeps  threatening  kill
5881,goth,goth horror  thriller  foreign  drama  mystery adapted  novel  otsuichi  following  kendi  oiwa  manga  version  goth  love  death  mysterious  horror  film  boasts  neat  twist  serial  killer  theme  two  high  school  students  morino  kamiyama  share  morbid  fascination  cruelty  mutual  blood  lust  leads  track  wanted  help  catch  understand  ...  tips
5882,everything will be ok,everything will be ok animation  drama series  dark  troubling  events  forces  bill  reckon  meaning  life  lack  thereof
5883,sagan,sagan drama overview  found
5884,the experts,the experts action  comedy travis  wendell  two  luck  new  yorkers  think  relocating  small  town  nebraska  open  nightclub  know  actually  abducted  kgb  operative  flown  soviet  union  unwittingly  serve  experts  things  cool  america  created  expressly  spies  training  meant  ground  agents  hapless  americans  possibly  teach  ever  learn
5885,asperger's are us,asperger's are us documentary members  comedy  troupe  asperger  ’  us  easier  associate  faceless  audience  families  matter  crowd  best  friends  noah  new  michael  jack  ethan  one  simple  mantra  “  would  much  rather  appreciate  comedians  people  overcome  adversity  .”  coming  age  heartfelt  documentary  band  brothers  finds  crossroad  real  life  pulling  apart  decide  plan  ambitious  farewell  show  go  separate  ways  deal  well  uncertainty  uncertain  time  lives
5886,white on rice,white on rice comedy  romance 40  year  old  jimmy  growing  least  getting  older  mooching  upper  bunk  ten  nephew  bed  enjoys  never  ending  generosity  sister  aiko  dodges  wrath  impatient  brother  law  tak  thinks  could  get  married  problems  would  solved  falls  head  heels  niece  things  go  bad  worse
5887,ingenious,ingenious comedy  drama  romance rags  riches  story  two  friends  small  time  inventor  sharky  salesman  hit  rock  bottom  coming  gizmo  becomes  worldwide  phenomenon
5888,don't you forget about me,don't you forget about me documentary throughout  ’  80s  john  hughes  defined  teen  movie  genre  spoke  generation  teens  every  followed  1991  hung  director  hat  disappeared  obscurity  ala  j  salinger  2008  group  young  canadian  filmmakers  set  complete  documentary  man  hoped  would  culminate  interview  first  since  1999
5889,the lost boys,the lost boys horror  comedy mother  two  teenage  sons  move  seemingly  nice  quiet  small  coastal  california  town  yet  soon  find  overrun  bike  gangs  vampires  couple  friends  take  upon  hunt  suspect  mysterious  murders  restore  peace  calm
5890,una noche,una noche drama havana  raul  dreams  escaping  miami  accused  assault  appeals  elio  help  reach  forbidden  world  90  miles  across  ocean  one  night  full  hope  face  biggest  challenge  lives
5891,incendiary blonde,"incendiary blonde music  romance paramount  highly  fictionalized  1945  musical  biography  texas  guinan  roaring  20s  new  york  nightclub  owner  celebrity  alleged  underworld  connections  famously  greeted  customers  phrase  hello  suckers  !"""
5892,the missouri traveler,the missouri traveler drama  family  western brandon  dewilde  leads  cast  lengthy  character  actors  playing  subdued  byron  turner  15  year  old  runaway  eatondale  orphan  asylum  bound  florida  pre  world  war  time  period  receives  ride  rural  missouri  town  delphi  rich  land  owner  tobias  brown  lee  marvin  ).  episode  square  involving  populace  meets  crusty  newspaper  man  doyle  magee  gary  merrill  men  share  interest  polite  mature  youth  one  showing  kindness  almost  outright  cruelty  eventually  reasoning  become  clear  lad  whole  comes  accept  embrace  dream  becoming  farmer  source  http  ://  en  wikipedia  org  wiki  the_missouri_traveler
5893,the champ,the champ drama  family love  harder  fight  world  looks  billy  flynn  sees  seemingly  never  ex  boxing  champion  slammed  mat  years  ago  booze  gambling  son  tj  knows  flawed  loving  father  always  champ
5894,sofie,sofie drama 1886  1907  life  sofie  jew  copenhagen  nearly  29  marital  prospects  living  loving  parents
5895,paperhouse,paperhouse drama  fantasy  horror anna  becoming  lost  loneliness  world  discovers  visit  another  house  drawn  occupied  young  disabled  boy  links  fantasy  mundane  present  deeper  dream  turning  nightmare
5896,the telegraph trail,the telegraph trail action  western greedy  businessman  turned  renegade  foments  indian  uprising  coming  telegraph  perpetuate  economic  stranglehold  territory
5897,money talks,money talks action  adventure  comedy money  talks  1997  american  comedy  film  directed  brett  ratner  sought  police  criminals  small  time  huckster  makes  deal  tv  newsman  protection
5898,na maloom afraad,na maloom afraad thriller  comedy na  maloom  afraad  story  three  reckless  poor  struggling  souls  running  individual  ambitions  desires  brought  together  one  incident  makes  simple  life  thrilling  roller  coaster  ride  numerous  ironic  twist  amp  turns  characters  run  around  chaotic  city  karachi  bringing  craziest  plan  save  love  asses
5899,return to the 36th chamber,return to the 36th chamber action workers  dye  factory  pay  cut  20  owner  brings  manchu  thugs  try  increase  production  desperate  reclaim  full  wages  hire  actor  impersonate  priest  kung  fu  expert  temple  shaolin  proves  fraud  punishes  involved  young  feels  let  promises  atone  sets  determined  accepted  pupil  elite
5900,singh is kinng,singh is kinng action  comedy comic  caper  happy  singh  punjabi  villager  goes  series  misadventures  eventually  becomes  king  australian  underworld
5901,fair of the dove,fair of the dove  young  printer  relationship  girlfriend  trouble  accepts  another  suitor  invitation  fair  adaption  popular  operetta  aims  please  simple  storyline  goofy  slapstick
5902,dark mirror,dark mirror horror  thriller story  photographer  moves  family  home  filled  mirrors  seem  reflect  different  reality
5903,the taint,the taint action  comedy  horror water  tainted  taint  poisons  minds  men  turns  raging  misogynists  monsters  want  nothing  crush  women  heads  rocks  objects  ).  society  transformed  land  sadistic  violence  horrible  brutality  phil  ginny  hot  friend  misandra  combat  evil  survive  world  brimming  castration  endless  head  crushing
5904,dim sum funeral,"dim sum funeral comedy  drama irish  funeral  wake  jewish  sitting  shiva  traditional  chinese  something  else  entirely  thats  estranged  siblings  american  xiao  family  must  undergo  upon  news  mothers  death  one  brother  three  sisters  dont  get  along  however  share  thing  hatred  domineering  manipulative  mother  dragon  lady  ."""
5905,orchestra rehearsal,orchestra rehearsal foreign  drama orchestra  rehearsal  italian  prova  1978  film  directed  federico  fellini  follows  members  go  strike  conductor  shown  competition  1979  cannes  festival  considered  underrated  last  collaboration  composer  nino  rota  due  death
5906,repast,repast drama michiyo  lives  small  place  osaka  happy  marriage  cook  clean  husband
5907,downfall,downfall drama  history  war april  1945  germany  stands  brink  defeat  russian  army  closing  east  allied  expeditionary  force  attacking  west  berlin  capital  third  reich  adolf  hitler  proclaims  still  achieve  victory  orders  generals  advisers  fight  last  man  end  finally  come  lies  dead  hand  left  military  must  find  way  killing  battle  lay  arms  surrender
5908,import/export,import/export drama nurse  ukraine  searches  better  life  west  unemployed  security  guard  austria  heads  east  reason  looking  work  new  beginning  existence  struggling  believe  find  meaning  ..
5909,"big mommas: like father, like son","big mommas: like father, like son crime  comedy  action fbi  agent  malcolm  turner  17  year  old  son  trent  go  undercover  girls  performing  arts  school  witnesses  murder  posing  big  momma  charmaine  must  find  murderer  finds"
5910,bird on a wire,bird on a wire action  adventure  comedy  romance fbi  informant  kept  new  identity  secret  15  years  old  flame  recognised  bad  guys  back  revenge
5911,scarecrow,scarecrow drama  thriller two  drifters  bum  around  visit  earthy  women  discuss  opening  car  wash  pittsburgh
5912,the trojan women,the trojan women drama women  troy  face  enslavement  fall  city
5913,the kiss,the kiss thriller  horror  drama  fantasy teenager  amy  halloran  ’  mother  killed  car  crash  going  meet  sister  felice  top  fashion  model  long  father  meets  graveside  invites  move  develops  dislike  particularly  seduces  comes  believe  using  african  magic  kill  friends  trying  possess
5914,hellraiser iii: hell on earth,hellraiser iii: hell on earth horror  thriller  war pinhead  trapped  sculpture  fortunately  bought  young  playboy  owns  night  club  busies  escaping  getting  lure  victims  presence  use  blood  free  seeks  destroy  puzzle  cube  need  never  return  hell  female  reporter  investigating  grisly  murders  stands  way
5915,midnight fm,midnight fm thriller  crime  mystery popular  tv  anchorwoman  amp  late  night  radio  host  sun  young  prepares  work  final  program  prepare  take  ill  daughter  america  following  morning  show  ko  receives  startling  text  message  ’  apartment  watched  sister  ah  man  named  dong  su  breaks  large  wrench  knocks  unconscious  unable  locate  –  hiding  closet  sends  instructing  follow  directions  tell  anyone
5916,welcome to l.a.,welcome to l.a. romance  drama  music lives  romantic  entanglements  group  young  adults  achieved  overnight  success  los  angeles
5917,such good friends,such good friends comedy  drama otto  preminger  directs  comedy  drama  based  upon  novel  lois  gould  adapted  elaine  may  pseudonym  esther  dale  ).  julie  messinger  dyan  cannon  intense  woman  hides  wild  emotions  desires  conventional  facade  husband  richard  laurence  luckinbill  checks  hospital  simple  mole  removal  goes  seriously  wrong  stellar  cast  includes  james  coco  jennifer  neill  ken  howard  louise  lasser  nina  foch  sam  levine  doris  roberts  burgess  meredith
5918,all about love,all about love drama maria  bright  attractive  especially  responsible  young  woman  used  things  go  way  life  school  clear  career  path  ends  taking  job  putting  together  cushions  chairs  single  day  quits  claiming  work  hurts  hands  rather  start  restaurant  plots  next  move  impulsively  swipes  piece  lingerie  store  tries  lie  situation  caught  finds  words  get  bind  soon  jail  dealing  much  deeper  trouble  ever  imagined  possible
5919,whiskey tango foxtrot,whiskey tango foxtrot war  comedy 2002  cable  news  producer  kim  barker  tina  fey  decides  shake  routine  taking  daring  new  assignment  kabul  afghanistan  dislodged  comfortable  american  lifestyle  finds  middle  control  war  zone  luckily  meets  tanya  vanderpoel  margot  robbie  )   fellow  journalist  takes  shellshocked  reporter  wing  amid  militants  warlords  nighttime  partying  discovers  key  becoming  successful  correspondent
5920,comrade x,comrade x comedy  drama american  reporter  smuggling  news  soviet  moscow  blackmailed  helping  beautiful  communist  leave  country
5921,siberia,siberia drama  crime  romance  foreign goof  hugo  flatmates  amsterdam  made  tidy  sum  sex  tourists  robbing  goal  spend  money  together  world  trip  scam  going  well  meet  lara  originally  siberia  becomes  besotted  imdb
5922,closed curtain,closed curtain drama man  dog  young  woman  filmmaker  house  caspian  sea  three  wanted  also  search  thus  begins  absurd  game  reality  fiction  merge
5923,the look of silence,the look of silence history  documentary family  survives  genocide  indonesia  confronts  men  killed  one  brothers
5924,sole survivor,sole survivor horror  thriller denise  watson  tv  station  worker  survivor  unexplained  horrific  airplane  crash  completely  unscratched  soon  becomes  haunted  feelings  unworthiness  well  seeing  strange  people  following  hearing  voices  calling  name  one  hear  disregarding  warnings  psychic  actress  friend  tries  get  life  revealed  supposed  die  somehow  escaped  unseen  specter  death  wants  collect  sending  minions  recently  died  kill  finish  job  planed
5925,camera obscura,camera obscura  psychological  thriller  lapd  crime  scene  photographer  tries  confront  fears  setting  boundaries  reality  illusion
5926,the walking deceased,the walking deceased science fiction  comedy walking  deceased  scary  movie  zombie  genre  ripping  biggest  best  pop  culture  arguably  crazed  world  story  follows  group  survivors  walks  apocalypse  –  idiotic  sheriff  definite  coma  induced  brain  damage  hardass  son  hobo  crossbow  stave  dead  four  squabbling  friends  forced  survive  zombieland  together  lonely  needs  love  fully  regain  warm  body  leave  safe  mall  hideout  search  rumored  ranch  refuge  untouched  virus  ravaged  humanity  despite  comforting  name  discover  sanctuary  may  welcoming  advertised
5927,lockout,lockout action  thriller  science fiction set  near  future  lockout  follows  falsely  convicted  ex  government  agent  whose  one  chance  obtaining  freedom  lies  dangerous  mission  rescuing  president  daughter  rioting  convicts  outer  space  maximum  security  prison
5928,virgin stripped bare by her bachelors,virgin stripped bare by her bachelors romance  drama wealthy  jae  hoon  meets  attractive  writer  soo  jung  mutual  friend  filmmaker  young  tries  pursue  romance  things  get  complicated  becomes  apparent  also  feelings  woman
5929,breakfast of champions,breakfast of champions comedy portrait  fictional  town  mid  west  home  group  idiosyncratic  slightly  neurotic  characters  dwayne  hoover  wealthy  car  dealer  ship  owner  brink  suicide  losing  touch  reality
5930,flash of genius,flash of genius drama david  vs  goliath  drama  based  true  story  college  professor  robert  kearns  greg  kinnear  goes  giants  auto  industry  fail  give  credit  inventing  intermittent  windshield  wipers  doggedly  pursues  recognition  invention  well  much  deserved  financial  rewards  sake  wife  lauren  graham  six  kids
5931,boyz n the hood,boyz n the hood crime  drama boyz  n  hood  popular  successful  film  social  criticism  john  singleton  conditions  south  central  los  angeles  teenagers  involved  gun  fights  drug  dealing  daily  basis
5932,running on empty,running on empty drama popes  family  able  use  real  identity  years  late  sixties  parents  set  weapons  lab  afire  effort  hinder  government  vietnam  war  campaign  ever  since  run  authorities  never  far  behind
5933,thithi,"thithi comedy  drama remote  village  south  india  three  generations  sons  react  death  century  gowda  grandfather  101  year  old  man  story  lines  intertwine  converging  thithi  ""   final  funeral  celebration  eleven  days"
5934,the alley tramp,the alley tramp drama teenage  girl  sets  sexual  odyssey  affairs  various  men  including  mother  secret  boyfriend
5935,"dude, where’s my car?","dude, where’s my car? comedy jesse  chester  two  bumbling  stoners  wake  one  morning  night  partying  cannot  remember  parked  car  encounter  variety  people  looking  including  angry  girlfriends  street  gang  transexual  stripper  cult  alien  seeking  fanatics  aliens  human  form  mystical  device  could  save  destroy  world"
5936,dutchman,dutchman drama young  conservative  black  man  minding  business  rides  nearly  empty  subway  car  passenger  blonde  vixen  looking  trouble  sizes  sexual  tension  racial  bigotry  righteous  fury  collide  razor  edge  confrontation  unlikely  pair
5937,"a man, a horse, a gun","a man, a horse, a gun western stranger  happens  across  murdered  postal  inspector  gang  bandits  set  prize  stolen  gold  transported  stagecoach  sharpshooter  named  en  plein  treacherous  agent  try  get  hands  source  swdb  www  spaghetti  western  net"
5938,the amazing mr. bickford,the amazing mr. bickford animation  music several  pieces  frank  zappa  music  set  clay  animation  bruce  bickford
5939,blown away,blown away drama  action  thriller blown  away  tells  story  jimmy  dove  works  boston  bomb  squad  shortly  leaves  force  partner  killed  thinks  might  made  someone  knows
5940,the 36th chamber of shaolin,the 36th chamber of shaolin action  adventure anti  ching  patriots  guidance  ho  kuang  han  secretly  set  base  canton  disguised  school  masters  brutal  manchu  attack  lui  manages  escape  devotes  learning  martial  arts  order  seek  revenge
5941,mortified nation,mortified nation documentary adults  share  embarrassing  teenage  writings  art  front  total  strangers  mortified  stage  shows  across  country  filmmakers  explore  show  popularity  says  us
5942,king kong lives,king kong lives action  horror kong  falls  twin  towers  appears  alive
5943,the 25th hour,the 25th hour drama  war romanian  peasant  fights  get  back  family  imprisoned  nazis  picture  based  real  events  includes  hungary  government  collaboration  encroachment  romania  stalin  troopers  happenings
5944,the adventures of robin hood,the adventures of robin hood action  adventure  romance robin  hood  errol  flynn  fights  nobly  justice  evil  sir  guy  gisbourne  basil  rathbone  striving  win  hand  beautiful  maid  marian  olivia  de  havilland  ).
5945,"cornbread, earl and me","cornbread, earl and me drama unintentional  shooting  police  star  basketball  player  profound  personal  political  community  repercussions  acclaimed  adaptation  novel  hog  butcher  ronald  fair  one  thoughtful  urban  dramas  produced  height  blaxploitation  craze  also  released  title  hit  open  man  features  screen  debut  laurence  fishburne  barely  teenager  time"
5946,the man with the iron fists,the man with the iron fists action feudal  china  blacksmith  makes  weapons  small  village  put  position  must  defend  fellow  villagers
5947,mclintock!,mclintock! western george  washington  mclintock  gw  friends  foes  alike  cattle  baron  richest  man  territory  anxiously  awaits  return  daughter  becky  away  school  last  two  years  also  surprised  see  wife  katherine  returned  left  without  really  explaining  done  make  point  saying  take  back  state  capitol  highly  respected  everyone  around  including  farmers  pouring  territories  free  grants  land  indians  threat  relocated  another  reservation  headstrong  crooked  agent  thieving  government  indian  tries  keep  peace  best
5948,lily  & the snowman,lily  & the snowman animation every  winter  magical  snowman  puts  show  little  girl  time  life  pulls  apart  remember  take  loved
5949,pit №8,pit №8 documentary eastern  ukrainian  town  snezhnoje  prospered  soviet  era  miners  spoiled  kinds  privileges  lives  poverty
5950,la chienne,"la chienne drama cashier  maurice  legrand  married  adele  terror  chance  meets  lucienne  lulu  ""   make  mistress  thinks  finally  met  love  nothing  streetwalker  dede  pimp  accepts  satisfy  needs  money  remade  fritz  lang  scarlet  street  edward  g  robinson  joan  bennett"
5951,the karen carpenter story,the karen carpenter story drama  music story  meteoric  rise  sudden  fall  karen  carpenter  became  famous  singer  battling  anorexia  bulimia  made  tv  movie  authorized  version  life  approval  richard  family
5952,the legend of sleepy hollow,the legend of sleepy hollow comedy  family  fantasy  horror tv  adaptation  washington  irving  classic  ghost  story  humor  drawing  card  version  jeff  goldblum  nerdish  ichabod  crane  dick  butkus  appropriately  nasty  brom  bones  meg  foster  spirited  katrina  van  tassel  angered  grown  fond  schoolmaster  determines  scare  interloper  filling  head  spooky  tales  headless  horseman  pooh  poohs  legends  one  fateful  ride  home  dark  night
5953,where east is east,where east is east drama chinese  wife  returns  american  family  left  moves  daughter  lupe  velez  beau  lloyd  hughes  ).
5954,the death of the incredible hulk,the death of the incredible hulk action  drama  science fiction critical  experiment  would  rid  david  banner  hulk  spy  sabotages  laboratory  falls  love  jasmin  performs  missions  sister  held  hostage  superiors  try  escape  enemy  agents  rebuild  lives  together  never  far
5955,the gene generation,the gene generation action  science fiction futuristic  world  michelle  lives  everyday  battling  dna  hackers  use  skills  hack  people  bodies  kill  assassin  trying  keep  younger  brother  jackie  trouble  gets  involved  petty  crime  robbery  propels  shylocks  loan  sharks  gangs
5956,the gleaners & i,the gleaners & i documentary  foreign varda  focuses  eye  gleaners  scour  already  reaped  fields  odd  potato  turnip  investigation  leads  forgotten  corners  french  countryside  hours  green  markets  paris  following  insist  finding  use  society  cast  whether  necessity  activism
5957,the monkey's paw,the monkey's paw horror  thriller jake  tilton  given  mystical  monkey  paw  talisman  grants  possessor  three  wishes  finds  world  turned  upside  first  two  result  malevolent  coworker  tony  cobb  resurrected  dead  pressures  using  final  wish  reunite  son  intimidation  quickly  escalates  relentless  murder  forcing  outwit  psychotic  friend  save  remaining  loved  ones
5958,dibu 3,dibu 3  facing  imminent  attack  mars  planet  earth  sends  dibu  peace  ambassador  --  hope  averting  amazingly  finds  friendly  population  whose  issue  fed  used  nuclear  dump  site  besides  martian  also  inadvertently  manages  save  hit  diabolical  designs  ambitious  general
5959,food of love,food of love drama  romance  foreign young  aspiring  pianist  attracts  attention  famous  musicians  chance  encounters  bring  together  expectations  must  managed
5960,simple things,simple things drama  family order  secure  position  head  pediatrics  top  chicago  hospital  young  highly  accomplished  pediatrician  agrees  spend  summer  setting  clinic  small  town  north  carolina  mountains  clashing  ways  community  forced  deal  recent  loss  wife  reconnecting  9  year  old  son  learning  different  pace  life
5961,safe haven,safe haven romance young  woman  mysterious  past  lands  southport  north  carolina  bond  widower  forces  confront  dark  secret  haunts
5962,who killed pasolini?,"who killed pasolini? drama story  murder  poet  man  great  film  director  pier  paolo  pasolini  begin  arrest  pelosi  ""   young  accused  investigation  crime  question  kill  ?""  help  policeman  trepalle  put  evidence  trouble  killed  accuses  politicians"
5963,the midwife,"the midwife drama  war  romance midwife  fin  kätilö  "")""  romance  drama  set  wwii  finland  ’  lapland  province  major  european  battle  ground  war  based  katja  kettu  bestselling  novel  turns  love  affair  lapp  nazi  ss  officer  backdrop  opposed  finnish  germany  armies  1944  45  themes  story  international  conquering  class  boundaries  broken"
5964,the identity theft of mitch mustain,the identity theft of mitch mustain documentary 2005  mitch  mustain  top  high  school  quarterback  america  first  ever  consensus  gatorade  parade  usa  today  player  year  began  college  career  eight  consecutive  victories  momentum  stopped
5965,standing up,standing up drama based  one  beloved  young  adult  novels  time  two  kids  stripped  naked  left  together  island  lake  victims  vicious  summer  camp  prank  rather  return  face  humiliation  decide  take  run  follows  three  day  odyssey  discovery  self
5966,the holy land,the holy land drama coming  age  saga  set  tense  backdrop  arab  israeli  politics  mendy  young  rabbinical  student  whose  mind  full  curiosity  world  exists  outside  restrictions  orthodox  judaism  recognizing  distraction  teacher  suggests  visit  prostitute  get  system  fateful  night  meets  sacha  captivating  russian  expatriate  works  tel  aviv  bordello  appetite  experience  grows  stronger
5967,buenos aires 100 km,buenos aires 100 km drama  foreign remote  village  100  kilometers  city  buenos  aires  place  dreams  nation  capital  stephen  matías  alejo  damián  guido  born  13  years  ago  small  town  always  friends  together  share  monotonous  summer  afternoons  sitting  stoop  women  hairdresser  anxious  restless  impatient  change  go  confusing  period  experiment  transition  childhood  adolescence  appears  curious  sexual  awakening  accompanied  rebellion  parents  family  mandates
5968,avatar 2,avatar 2 action  adventure  fantasy  science fiction sequel  avatar  2009  ).
5969,"stay away, joe","stay away, joe action  comedy  drama  music  romance  western joe  lightcloud  persuades  congressman  give  20  heifers  prize  bull  father  charlie  prove  navajos  successfully  raise  cattle  reservation  experiment  successful  government  help  navajo  people  friend  bronc  hoverty  accidentally  barbecues  sells  buy  plumbing  home  improvements  stepmother"
5970,the president's man,the president's man action  adventure  drama  thriller many  joshua  mccord  chuck  norris  charismatic  asian  studies  professor  president  united  states  america  greatest  secret  weapon  covert  operative  charged  sensitive  dangerous  missions
5971,a certain kind of death,a certain kind of death documentary unblinking  unsettling  documentary  lays  bare  mysterious  process  goes  around  us  happens  people  die  next  kin
5972,crab trap,crab trap drama drama  set  black  communities  colombia  pacific  coast  man  looking  flee  country  boat  encounters  local  fisherman
5973,baggage claim,baggage claim comedy pledging  keep  oldest  woman  entire  family  never  wed  montana  embarks  thirty  day  thousand  mile  expedition  charm  potential  suitor  becoming  fiancé
5974,crooks anonymous,crooks anonymous crime  comedy former  burglar  trying  go  straight  joins  rehabilitation  scheme  using  much  methods  aa  process  takes  work  department  store  santa  endless  parade  goods  money  mention  pretty  young  shop  hands  like  moth  flame  time  flat
5975,motocrossed,"motocrossed tv movie  family  comedy  drama motocrossed  2001  disney  channel  original  movie  based  shakespeare  play  twelfth  night  )   girl  named  andrea  carson  loves  motocross  despite  fact  father  finds  unsuited  sport  "".  twin  brother  andrew  breaks  leg  big  race  forced  go  europe  find  replacement  rider  meantime  secretly  races  place  mother  help"
5976,polytechnique,polytechnique crime  drama dramatization  montreal  massacre  1989  several  female  engineering  students  murdered  unstable  misogynist
5977,escape from planet earth,escape from planet earth animation  comedy  adventure  family  science fiction astronaut  scorch  supernova  finds  caught  trap  responds  sos  notoriously  dangerous  alien  planet
5978,dimensions,dimensions drama  science fiction stephen  brilliant  young  boy  lives  england  appears  1920s  —  nothing  ’  life  quite  seems  world  turned  upside  upon  meeting  charismatic  inspirational  professor  garden  party  demonstrates  friends  would  like  merely  one  two  dimensional  beings  proceeds  explain  manipulating  dimensions  time  travel  may  actually  possible  unfolds  events  lead  dedicate  turning  theories  reality  jealousy  love  obsession  temptation  greed  surround  influencing  fragile  mind  direction  work
5979,the missing lynx,the missing lynx animation  family group  animals  look  way  eccentric  billionaire  personal  noah  ark  n  stuff
5980,voodoo moon,voodoo moon drama  fantasy  horror voodoo  moon  takes  place  mid  west  united  states  demonic  figure  murders  entire  population  small  town  save  one  young  boy  sister  twenty  years  later  consumed  trying  track  devil  thinks  found  artist  developed  psychic  abilities  enable  sense  disaster  visions  expresses  art  two  siblings  work  together  fighting  also  get  assistance  several  people  helped
5981,the perfect killer,the perfect killer action  crime betrayed  girl  best  friend  thief  harry  chapman  lee  van  cleef  takes  fall  racetrack  robbery  prison  offered  chance  participate  escape  plan  know  outside  group  responsible  break  debt  use  hit  man  naturally  grows  tired  job  splits  hellbent  getting  revenge  former  partners  mob  puts  young  luc  robert  widmark  trail
5982,3 days to kill,3 days to kill action  drama  thriller  crime dangerous  international  spy  determined  give  high  stakes  life  finally  build  closer  relationship  estranged  wife  daughter  first  must  complete  one  last  mission  even  means  juggling  two  toughest  assignments  yet  hunting  world  ruthless  terrorist  looking  teenage  time  ten  years  town
5983,staying together,staying together comedy  drama father  abruptly  sells  beloved  family  owned  restaurant  employed  years  charismatic  mcdermott  boys  hot  tempered  brian  quill  )   lovelorn  kit  mulroney  jokester  duncan  astin  find  odds  parents
5984,boy upside down,boy upside down comedy  drama finnish  dramedy  11  year  old  boy  dealing  loss  parents
5985,automatic,"automatic action  science fiction  horror  thriller robgen  industries  newest  security  system  j  series  automatic  ""   android  model  designed  programmed  protect  humans  violent  attacks  one  night  named  j269  discovers  executive  trying  rape  female  employee  nora  rochester  stop  crime  inadvertently  kills  point  calls  goddard  marx  creator  chairman  inform  incident  tells  stay  help  arrives  intent  sweeping  fiasco  rug  sending  mercenaries  eliminate  two  fugitives  run  para  military  hit  squad"
5986,the last ride,the last ride drama  action final  days  hank  williams
5987,top banana,top banana comedy  romance jerry  biffle  phil  silvers  star  blendo  soap  program  invited  participate  autograph  signing  party  new  book  important  department  store  meets  sally  peters  judy  lynn  )   one  models  makes  part  tv  troupe  campaign  court  gets  cliff  lane  danny  scholl  tenor  company  sing  phone  meet  fall  love  ignorant  complications
5988,kissing a fool,kissing a fool comedy  romance max  david  schwimmer  )   alpha  male  commitment  phobic  sports  broadcaster  jay  jason  lee  neurotic  novelist  best  friends  since  childhood  sets  editor  samantha  mili  avital  ).  although  share  interests  engaged  within  two  weeks  still  confronted  fact  sam  last  woman  sleep  proposes  test  hit  shows  interest  confident  enough  loyalty  go  ahead  marriage  though  hits  end  falling  love
5989,mojin: the lost legend,mojin: the lost legend action  adventure  fantasy beginning  1990s  famous  tomb  explorer  hu  bayi  decided  retire  move  united  states  girlfriend  shirley  wedding  discovers  first  love  ding  shitian  supposedly  died  one  hundred  cave  20  years  ago  actually  still  alive  together  old  exploration  partner  unravels  terrible  millennium  secret  ...
5990,woodstock,woodstock history  documentary  music intimate  look  woodstock  music  art  festival  held  bethel  ny  1969  preparation  cleanup  historic  access  insiders  blistering  concert  footage  portraits  concertgoers  negative  positive  aspects  shown  drug  use  performers  naked  fans  sliding  mud  collapse  fences  unexpected  hordes  surreal  arrival  national  guard  helicopters  food  medical  assistance  impromptu  city  500  000
5991,keith lowell jensen: atheist christmas,keith lowell jensen: atheist christmas  documentary  irreverent  atheist  celebrates  christmas
