,title,text
23,classic albums: iron maiden - the number of the beast,classic albums: iron maiden - the number of the beast music  documentary 1982  momentous  year  iron  maiden  following  addition  brilliant  new  vocalist  bruce  dickinson  third  album  number  beast  released  universal  acclaim  critics  rock  fans  topped  uk  charts  2  weeks  launched  us  top  40  first  time  invaded  10  worldwide  achieving  plethora  gold  platinum  awards  regarded  one  greatest  influential  heavy  metal  albums  including  along  demonic  title  track  classic  anthems  run  hills  hallowed  thy  name  prisoner  children  damned  exclusive  film  tells  full  vibrant  story  behind  making
24,fate of a man,fate of a man drama  war story  man  andrey  sokolov  whose  life  ruthlessly  crippled  world  war  ii  wife  daughters  killed  bombing  village  spent  time  prisoner  son  action  days  victory  ...
25,deep blood,deep blood horror several  young  men  stop  ancient  native  american  evil  form  killer  shark  attacking  small  beach  community
26,running mates,running mates comedy  romance story  longtime  love  finally  coming  fruition  former  captain  high  school  football  team  ed  harris  meets  crush  diane  keaton  years  successful  u  senator  running  president  award  winning  children  author  reconnecting  clash  political  issues  smitten  smiling  agrees  marry  unfortunately  adversary  compromising  photos  sordid  past  election  clock  ticking  opposing  forces  steal  victory  conquer  mates  1992  hilarious  good  nature  satire  featuring  list  cast
27,straw dogs,straw dogs crime  drama  thriller  mystery young  american  english  wife  come  rural  england  face  increasingly  vicious  local  harassment
28,teddy bear,teddy bear comedy  foreign main  character  nicknamed  teddy  bear  friends  acquaintances  manager  sports  club  poland  one  day  detained  border  sport  team  tournament  appears  somebody  torn  pages  passport  occurs  perhaps  ex  wife  done  order  get  hands  joint  account  london  bank  therefore  soon  possible  transfer  money  different  solution  taking  part  movie  made  friend  script  requires  double  role  thus  search  another  actor  announced  apply  solved  girlfriend  agrees  play  dope  new  fiancée  engagement  party  slipped  drug  runs  airport  false  plane  however  meets  ...
29,state affairs,state affairs thriller plane  explodes  gulf  guinea  escort  girl  murdered  parisian  park  thousands  miles  separate  two  events  yet  nora  chahyd  believes  connection  much  superiors  chagrin  investigates  getting  dangerously  close  powers  murders  betrayals  accumulate  signs  point  state  affair  heart
30,capricious summer,capricious summer comedy  romance  foreign middle  aged  antonin  friends  major  retired  canon  river  swimming  philosophizing  starts  rain  seems  sort  summer  runs  bath  portly  wife  katherine  ...  man  appears  horse  drawn  caravan  lays  striped  pole  across  walks  handstand  magic  trick  ernie  conjuror  invites  everyone  evening  performance  tightrope  walker  modest  skill  slim  beautiful  assistant  anna  speaks  two  spend  night  change  room  massaging  feet  long  decides  move  even  sense  attractiveness
31,aiyyaa,aiyyaa romance  comedy meenakshi  marathi  gal  ultra  sensitive  sense  smell  lives  life  dreams  dancing  enacting  favourite  actresses  sridevi  madhuri  juhi  believing  arranged  marriages  awaits  prince  comes  across  tamil  artist  surya  strangely  attracted
32,scene from the elevator ascending eiffel tower,scene from the elevator ascending eiffel tower documentary “  marvelously  clear  picture  taken  top  elevator  eiffel  tower  going  coming  car  wonderful  1  000  feet  height  produces  sensational  effect  camera  leaves  ground  rises  enormous  white  city  opens  view  astonished  spectator  arriving  bird  eye  exposition  looking  toward  trocadero  also  palace  electricity  made  begins  descent  entire  trip  shown  200  foot  film  30  00  furnish  ascent  125  .”  edison  catalog
33,game change,game change tv movie  drama  history based  book  john  heilemann  mark  halperin  game  change  focuses  republican  run  2008  presidential  election  candidate  mccain  picks  relative  unknown  alaskan  governor  sarah  palin  running  mate  campaign  kicks  high  gear  lack  experience  political  media  savvy  becomes  drain  upon  strategists  directed  jay  roach  previously  hbo  film  recount  austin  powers  movies  premiered  march  10th  2012
34,the great bank hoax,the great bank hoax comedy prominent  citizens  small  town  discover  officers  local  bank  embezzling  money  decide  rob
35,american promise,american promise documentary 1999  filmmakers  joe  brewster  michèle  stephenson  turned  camera  began  filming  five  year  old  son  idris  best  friend  seun  started  kindergarten  prestigious  dalton  school  private  institution  committing  diversify  student  body  cameras  continued  follow  families  another  12  years  paths  two  boys  diverged  —  one  pursued  different  route  public  education  system
36,white banners,white banners  homeless  woman  named  hannah  drifts  lives  kindly  ward  family  small  indiana  town  1919  makes  useful  cook  housekeeper  stays  wards  ...  real  interest  meeting  neighbor  teenager  peter  trimble  turns  son  bore  wedlock  gave  adoption  returned  see  sort  young  man  become
37,real,"real drama  science fiction koichi  atsumi  lovers  known  lives  year  ago  however  suicide  attempt  left  coma  sensing  "" ""  type  neurosurgical  procedure  allowing  contact  intentional  aspect  comatose  patient  mind  koishi  tries  find  tried  kill  bring  back  consciousness  enters  subconscious  told  picture  plesiosaur  drew  child  turns  childhood  incident  buried  past  minds  together"
38,ukonvaaja,ukonvaaja documentary ukonvaaja  hammer  ukko  documentary  film  focuses  ancient  finnish  folklore  mythology
39,the cheetah girls,the cheetah girls comedy  drama  family  music  tv movie four  member  teen  girl  group  named  cheetah  girls  go  manhattan  high  school  performing  arts  try  become  first  freshmen  win  talent  show  history  auditions  meet  big  time  producer  jackal  johnson  tries  make  superstars  run  many  problems
40,dance flick,dance flick action  comedy  music street  dancer  thomas  uncles  wrong  side  tracks  bond  beautiful  megan  white  might  help  duo  realize  dreams  enter  mother  dance  battles
41,novo,novo drama  comedy  romance injury  graham  suffers  short  term  memory  loss  causes  fall  back  abyss  amnesia  every  10  minutes  around  profit  suffer  condition  --  sex  crazed  boss  sabine  tricks  regular  trysts  family  tries  come  terms  situation  temp  irene  starts  working  company  affair  begins  make  mark
42,christmas land,christmas land family jules  inherited  quaint  christmas  tree  farm  bequeathed  grandmother  good  news  since  plans  sell  use  profits  buy  dream  home  city  needs  bit  sprucing  natural  fixer  ’  cleaned  time  impress  buyers  longer  stays  learns  important  land  many  families  starts  question  motives  perfect  buyer  turns  ulterior  must  whatever  takes  save
43,the boys in company c,the boys in company c drama  war disheartened  futile  combat  appalled  corruption  south  vietnamese  ally  constantly  endangered  incompetence  company  commander  young  men  find  possible  way  war  told  purposely  lose  soccer  game  team  spend  rest  tour  playing  exhibition  games  behind  lines
44,at world's end,at world's end adventure  action  comedy  thriller english  tv  team  discovers  special  white  flower  indonesian  rainforest  never  get  investegate  danish  recluse  severin  shot  enforcement  psychiatrist  front  sent  find  claims  129  years  old  keeps  young  soon  hunts  apparently  gives  eternal  life
45,jeff foxworthy: totally committed,"jeff foxworthy: totally committed comedy comedian  jeff  foxworthy  shot  national  fame  hilarious  stand  routine  know  redneck  ...""  part  outrageous  humor  social  commentary  routines  spot  send  ups  american  southern  culture  totally  committed   ""  originally  aired  hbo  special  gamely  tackles  subjects  baldness  marriage  commemorative  plates"
46,october baby,october baby drama october  baby  coming  age  story  beautiful  naive  college  freshman  discovers  entire  life  lie  sets  road  trip  host  misfits  discover  answers  craves
47,the matrix revisited,the matrix revisited documentary film  goes  behind  scenes  1999  sci  fi  movie  matrix
48,the other side of midnight,the other side of midnight drama  romance  thriller french  beauty  noelle  page  falls  love  american  pilot  larry  douglas  believes  marry  instead  returns  u  marries  sweet  naive  catherine  even  though  found  new  lover  affluent  greek  named  constantin  started  great  career  actress  vows  revenge  onetime  plan  motion  fall  plot  death
49,acadia acadia?!?,acadia acadia?!? documentary late  1960s  triumph  bilingualism  biculturalism  new  brunswick  université  de  moncton  became  setting  awakening  acadian  nationalism  centuries  defeatism  resignation  although  40  province  population  spoke  french  unable  make  voices  heard  movement  started  students  sit  ins  demonstrations  parliament  run  police  soon  spread  majority  acadians  film  captures  behind  scenes  action  determination  bring  change  invaluable  document  rebirth  people
50,double confession,double confession thriller  crime hero  discovers  estranged  wife  dead  tries  frame  lover  murder  becomes  involved  criminals  make  various  unsuccessful  attempts  life  police  clear  mystery
51,pan,pan action  adventure  fantasy  drama  romance edvarda  arrives  little  norwegian  village  stay  family  find  lt  .   thomas  glahn  interesting  soon  fall  love  passionate  relationship  leads  problems  strong  opinions  behaving  strange  turns  hate  instead  please  hurt  person  psychological  great  job  began  story  sad  depressing  two  ruined  persons  told  exile  thailand  beginning  movie  receives  green  feathers
52,triple dog,triple dog drama  thriller night  sleepover  group  teenage  girls  venture  competitive  game  challenging  dares  antics  escalate  become  extreme  unravel  truth  behind  former  student  rumored  suicide
53,ghost in the shell 2.0,"ghost in the shell 2.0 action  animation  science fiction year  2029  section  9  group  cybernetically  enhanced  cops  called  investigate  stop  highly  wanted  hacker  known  puppetmaster  "".""  ghost  shell  2  0  reproduced  version  original  1995  counterpart  among  numerous  enhancements  film  release  number  scenes  overhauled  3d  animation  visual  improvements  soundtrack  rerecorded  6  1  surround  sound"
54,red planet,red planet thriller  action  science fiction astronauts  search  solutions  save  dying  earth  searching  mars  mission  go  terribly  awry
55,thelma & louise,thelma & louise drama  thriller  crime  adventure whilst  short  weekend  getaway  louise  shoots  man  tried  rape  thelma  due  incriminating  circumstances  make  run  thus  cross  country  chase  ensues  two  fugitives  along  way  women  rediscover  strength  friendship  surprising  aspects  personalities  self  strengths  trying  times
56,louis theroux's african hunting holiday,louis theroux's african hunting holiday  louis  goes  south  africa  american  tourists  pay  hunt  wild  animals  privately  owned  reserves
57,twilight,twilight drama  crime  mystery  thriller retired  ex  cop  private  detective  gets  mixed  murder  asked  deliver  blackmail  money  walks  20  year  old  case  involving  mysterious  disappearance  actress  former  husband
58,don camillo in moscow,don camillo in moscow comedy village  mayor  peppone  camillo  much  dispute  gets  assigned  sister  russia  comrades  decide  attend  ceremony  side  iron  curtain  wants  join  strictly  threatens  disclose  information  earlier  step  agrees  arranges  false  papers  comrade  tarocci  villagers  know  really  agenda  includes  various  cultural  events  ballet  opera  fishing  competition  parties  ...
59,the other shore,the other shore  film  tracks  legendary  swimmer  diana  nyad  ’  lifetime  vision  four  harrowing  attempts  swim  non  stop  cuba  florida  abusive  past  collides  obsessive  present  dangerous  60  hour  feat  never  accomplished
60,god is on air,god is on air comedy  drama two  spanish  pan  handlers  soon  find  heads  stumble  upon  opportunity  redeem  perhaps  entire  planet  world  appears  suffer  rampant  poverty  violence  spiritual  desperation  relentless  news  media  force  feeds  images  people  popular  reality  television  show  lets  audience  decide  life  death  suspected  felons  one  opportunistic  attempts  escape  raucous  sensational  tv  program
61,felix the cat: the movie,felix the cat: the movie animation  family another  dimension  villainous  scientist  duke  zill  help  mechanical  geometric  army  ultimately  takes  golden  kingdom  oriana  escaped  exile  felix  cat  must  bravely  save  princess  restore  order  terrible  uncle  smoke  belching  troops  put  sinister  plot  action
62,love lasts three years,love lasts three years romance  comedy look  dissolution  marriage  ...
63,gasoline,gasoline crime fiery  dark  haired  stella  intense  auto  mechanic  nervous  blonde  eleonora  young  love  operate  gas  station  peacefully  mother  appears  voices  disapproval  romance
64,saint amour,saint amour comedy  drama every  year  bruno  makes  tour  wine  stands  without  setting  foot  outside  show  ’  premises  ever  finishing  trail  father  suggests  finish  together  real  across  french  countryside  accompanied  mike  young  quirky  taxi  driver  set  direction  france  major  regions  going  discover  trails  also  road  leads  back  love
65,the angel,the angel drama  foreign drug  addict  becomes  mother  deal  responsibility  self  respect
66,cobain: montage of heck,cobain: montage of heck music  documentary authorized  documentary  late  guitar  lead  singer  kurt  cobain  early  days  aberdeen  washington  success  downfall  grunge  band  nirvana
67,akko's secret,akko's secret comedy  romance  fantasy young  atsuko  kagami  comes  possession  magical  mirror  lets  transform  anything  wishes  attempts  save  company  sold  using  transformation  abilities  also  falls  love  22  year  old  college  student
68,the ecstasy of wilko johnson,the ecstasy of wilko johnson music  documentary ecstasy  wilko  johnson  confronts  worst  nightmares  impending  death  turns  upside  tells  extraordinary  yet  universal  story  legendary  musician  diagnosed  pancreatic  cancer  given  months  live  accepted  fate  uplifting  positivity  embarked  farewell  tour  capturing  imagination  world  went  like  every  good  damn  fine  twist  tail  two  years  later  confounding  odds  wakes  hospital  bed  unexpectedly  sentenced  integrate  enlightened  lessons  learnt  sentence  unexpected  ongoing  future  life
69,'master harold'... and the boys,'master harold'... and the boys drama master  harold  black  employees  ordered  call  young  hally  son  well  white  couple  fashionable  tea  room  wanders  establishment  one  day  sees  two  male  workers  practicing  upcoming  ballroom  competition  dancing  together  exchange  kidding  rebukes  meant  offend  anyone  receives  bad  news  father  takes  anger  upon  efforts  smooth  situation  erupt  racial  conflict
70,stella dallas,stella dallas drama  romance working  class  stella  martin  marries  high  end  stephen  dallas  soon  daughter  named  laurel  incessant  demands  become  leads  eventual  separation  later  helen  morrison  prior  fiancée  )   becomes  focus  life  love  nothing  good  far  concerned  determined  give  advantages  takes  trip  expensive  resort  makes  friends  rich  kids  embarrassing  incident  realizes  would  go  farther  without  mother  subsequent  sacrifice  shattering
71,w.,w. drama  history whether  love  hate  question  george  w  bush  one  controversial  public  figures  recent  memory  takes  viewers  ’  eventful  life  --  struggles  triumphs  found  wife  faith  course  critical  days  leading  decision  invade  iraq
72,bruce lee: the legend,bruce lee: the legend documentary official  golden  harvest  tribute  master  martial  arts  film  bruce  lee
73,the proud princess,the proud princess romance  comedy  family  drama human  nice  story  lofty  princess  father  amiable  incapable  unforgettable  performance  neumann  good  kind  well  principled  young  king  prince  tries  make  tender  calm  heart  get  married  refused  capricious  )   conclude  better  start  work  gardener  castle  secret  successively  bring  senses  ...  continues  already  reformed  learn  real  identity  later  take  refuge  troops  old  sent  course  took  bad  mean  counsellors  advice  ).  shelter  several  ordinary  poor  families  always  friendly  give  help  tale  happy  end
74,the winning season,the winning season comedy  drama comedy  centered  coach  given  shot  redemption  asked  run  local  high  school  girls  basketball  team
75,intimidation,intimidation crime koreyoshi  kurahara  ’  ingeniously  plotted  pocket  size  noir  concerns  intertwined  fates  desperate  bank  manager  blackmailed  book  cooking  resentful  timid  underling  passed  promotion  marvelously  moody  intimidation  aru  kyouhaku  elegantly  stripped  carefully  paced  crime  drama
76,upstream,upstream  silent  comedy  set  actor  boardinghouse  plot  points  seemingly  inspired  barrymore  dynasty
77,ace of aces,ace of aces adventure  comedy action  comedy  french  boxer  jo  cavalier  charmed  train  berlin  olympics  hitler  germany  little  boy  simon  rosenblum  asks  autograph  turns  adorable  young  fan  jewish  orphan  danger  persecution  risks  one  shot  olympic  glory  save  family  helped  german  officer  gentleman  became  friend  world  war  adventurous  escape  switzerland  nazi  troops  heals  braving  impossible  odds  roller  coaster  style
78,i eat your skin,i eat your skin horror cancer  researcher  remote  caribbean  island  discovers  treating  natives  snake  venom  turn  bug  eyed  zombies  uninterested  information  unfortunate  man  forced  evil  employer  create  army  creatures  order  conquer  world
79,the big sky,the big sky adventure  western kirk  douglas  stars  determined  leader  band  tennessee  fur  trappers  set  explore  uncharted  missouri  river  1830  find  selves  battling  american  indians
80,veeram,veeram action  comedy  romance straightforward  man  uses  violence  settle  disputes  decides  mend  ways  sake  lover  learns  family  danger  save  cost
81,the odds,the odds crime  mystery murder  mystery  set  world  illegal  teenage  gambling  17  year  old  must  find  best  friends  killer  game  exposed
82,the deal,the deal thriller  crime  drama political  thriller  steeped  illegal  oil  trading  russian  mafia  governmental  cover  ups
83,french blood,french blood drama marco  lopez  former  neo  nazi  skinhead  tries  leave  violent  racist  hateful  past  behind
84,attention! bandits!,attention! bandits! drama  war winter  1944  partisans  stationed  ligurian  apennines  must  go  factory  genoa  order  pick  delivery  weapons  meanwhile  strike  city  nazis  trying  suppress  violently  becomes  scene  fighting  germans  latter  aided  workers  able  get  better
85,postman blues,postman blues crime  drama  action postman  mistaken  dangerous  criminal  police
86,tim's vermeer,tim's vermeer documentary inventor  tim  jenison  seeks  understand  painting  techniques  used  dutch  master  johannes  vermeer
87,fido,fido romance  comedy  drama  horror timmy  robinson  best  friend  whole  wide  world  six  foot  tall  rotting  zombie  named  fido  eats  next  door  neighbor  mom  dad  hit  roof  go  ends  earth  keep  part  family  boy  dog  movie  grown  ups  rip  heart
88,half moon,half moon music  drama  comedy mamo  old  legendary  kurdish  musician  living  iran  plans  give  one  final  concert  iraqi  kurdistan  seven  months  trying  get  permit  rounding  ten  sons  sets  long  troublesome  journey  derelict  bus  denying  recurring  vision  death  half  moon  halfway  party  halts  small  village  pick  female  singer  hesho  add  difficulty  undertaking  forbidden  iranian  women  sing  public  let  alone  company  men  determined  carry  gullible  antics  driver
89,labyrinth of flames,labyrinth of flames comedy  action galan  princess  girlfriend  gives  gift  ancient  sword  strange  events  unfold  even  stranger  people  drop  sky  attack  must  overcome  ineptitude  join  bunch  beautiful  women  wacky  romp  kingdom  time  forgot
90,being john malkovich,being john malkovich fantasy  drama  comedy spike  jonze  ’  debut  feature  film  love  story  mix  comedy  fantasy  unsuccessful  puppeteer  named  craig  one  day  work  finds  portal  head  actor  john  malkovich  soon  becomes  passion  anybody  enters  mad  controlling  world  overtaking  another  human  body
91,the thieving hand,"the thieving hand comedy one  armed  street  peddler  notices  well  man  dropped  ring  returns  wealthy  grateful  show  appreciation  takes  limb  store  "" ""  pays  new  arm  attached  missing  soon  finds  seems  things  cause  considerable  embarrassment"
92,çalgı çengi,"çalgı çengi comedy salih  gürkan  two  cousins  ankara  struggling  musicians  trying  make  living  performing  private  events  bachelorette  parties  nihat  low  profile  event  manager  finds  gig  duo  leads  encounter  unexpected  guests  dressing  room  ""."
93,party crashers,party crashers comedy party  crashers  chronicles  amusing  encounter  marco  polo  marcelo  adnet  )   copacabana  trickster  beto  eduardo  sterblitch  boy  passionate  somewhat  pixilated  new  year  eve  rio  together  crashes  parties  create  lot  confusion  search  beautiful  laura
94,the secret,the secret documentary interviews  leading  authors  philosophers  scientists  depth  discussion  law  attraction  audience  shown  learn  use  secret  everyday  lives
95,the maidens' conspiracy,the maidens' conspiracy adventure tirante  knight  committed  fighting  turks  constantinople  relieving  carmesina  heiress  byzantine  empire  virginity
96,frisk,frisk drama  thriller first  person  narrative  gay  serial  killer  explores  violence  sexuality  imagination
97,crave,crave drama  thriller aiden  josh  lawson  craves  better  life  away  gruesome  job  crime  scene  photographer  working  alongside  detective  friend  pete  ron  perlman  ).  meaningful  escape  hard  streets  detroit  fall  love  perfect  woman  save  world  evil  dark  imagination  starts  leak  reality  meets  virginia  emma  lung  )   younger  dilemmas  desires  estranged  boyfriend  ravi  edward  furlong   )  explores  uncertain  relationship  becomes  increasingly  emboldened  live  vigilante  fantasies  faced  disturbing  truth  inner  learns  pay  terrible  price  twisted
98,flight of the red balloon,flight of the red balloon family  drama first  part  new  series  films  produced  musée  orsay  flight  red  balloon  tells  story  french  family  seen  eyes  chinese  student  film  shot  august  september  2006  location  paris  hou  hsiao  hsien  western  based  classic  short  directed  albert  lamorisse
99,king and country,king and country war  drama world  war  british  soldier  charged  desertion  defended  officer  first  despises  actions  grows  feel  sympathy
100,big top pee-wee,big top pee-wee comedy  family paul  reubens  stars  pee  wee  herman  second  full  length  film  farmer  joins  circus  storm  drops  big  tent  front  yard  along  outlandish  cast  animals  performers  puts  best  show  ever
101,fighting delinquents,"fighting delinquents crime  action rarely  seen  gem  master  suzuki  casts  teenage  heartthrob  koji  wada  young  misfit  suddenly  finds  unwitting  pawn  escalating  family  feud  ultimately  leads  tragedy  lean  mean  stylish  always  tale  youth  gone  wild  vibrant  touching  contrasts  tranquil  glimpses  traditional  regional  life  emergence  new  rock  n  roll  culture  greed  seething  cynicism  encroaching  westernism  also  released  title  go  hell  hoodlums  ""   melodrama  colorful  shocking  exhilarating  one  would  come  expect  japan  filmmaker"
102,no sad songs for me,no sad songs for me drama mary  scott  learns  ten  months  live  dying  incurable  disease  manages  keep  news  husband  brad  daughter  polly  tries  make  every  moment  life  count  effort  weakened  discovery  interested  assistant  chris  radner  indeed  love  leaving  town  realizes  must  ensure  future  happiness  persuades  stay  makes  genuine  friend  watches  grow  towards
103,h2o just add water - the movie,h2o just add water - the movie fantasy  adventure three  normal  teenage  girls  stumble  upon  ancient  cave  undergo  transformation  change  lives  forever  h20  add  water  sees  different  facing  everyday  teen  problems  added  twist  mermaids  incredible  powers
104,spiders 2: breeding ground,"spiders 2: breeding ground horror  science fiction jason  alexandra  alex  "" ""  close  couple  loose  sail  yacht  storm  grateful  get  picked  captain  jim  bigelow  commercial  carrier  suspicous  rough  treatment  injections  given  ship  doctor  gerbac  make  strong  man  faint  realizing  improbably  empty  radio  broke  crew  claims  starts  snooping  around  finds  human  bodies  meat  hooks  even  thinks  hallucinating  alas  sane  restrained  paranoia  real  madmen  doc  genetic  experiment  outfit  abuse  captives  live  incubators  giant  spider  eggs  ..."
105,cinema verite,"cinema verite drama 1973  loud  family  became  television  sensation  new  kind  long  metal  rock  star  showed  eccentric  small  screen  decades  housewives  screaming  matches  camera  public  cinema  verite  tells  behind  scenes  story  groundbreaking  documentary  american   ""  chronicled  lives  louds  early  1970s  catapulted  santa  barbara  notoriety  creating  genre  reality  tv  series"
106,the bride from hades,the bride from hades horror night  summer  obon  festival  hagiwara  shinzaburo  meets  beautiful  courtesan  named  otsuyu  knowing  ghost  becomes  infatuated
107,tales of terror from tokyo and all over japan: the movie,tales of terror from tokyo and all over japan: the movie horror 8  short  stories  comprise  anthology  movie  based  tales  terror  tv  series
108,ministry of fear,ministry of fear crime  drama stephen  neale  released  wwii  england  two  years  asylum  seem  sane  outside  either  way  back  london  rejoin  civilization  stumbles  across  murderous  spy  ring  quite  know  turn
109,the u.s. vs. john lennon,the u.s. vs. john lennon documentary documentary  life  john  lennon  focus  time  transformed  musician  antiwar  activist
110,alter ego,alter ego drama  romance alter  ego  successful  greek  rock  group  potential  surpasses  limits  local  music  industry  hundreds  thousands  fans  getting  wild  every  concert  public  appearance  fame  success  money  world  glamor  vanity  hidden  behind  mirror  members  experience  day  life  dreams
111,a fuller life,a fuller life documentary friends  admirers  iconoclastic  film  director  sam  fuller  read  memoirs  unconventional  documentary  directed  child  samantha
112,the physician,the physician adventure  drama  history story  rob  cole  boy  left  penniless  orphan  11th  century  english  mining  town  mother  dies  mysterious  illness  vowing  become  physician  vanquish  death  travels  isfahan  persia  study  medicine  great  ibn  sina  countless  ordeals  challenges  making  many  sacrifices  along  way  struggles  unwaveringly  unflagging  quest  knowledge  leads  blossoming  friendship  true  love
113,"ilsa, the tigress of siberia","ilsa, the tigress of siberia horror  thriller siberia  1953  ilsa  working  gulag  prison  camp  mission  retrain  minds  agree  communists"
